"tipo","P","Tg","E","SR","epsr"
PLA,0,58.6,3.74,103.95,4.18
PLA,0,60.1,3.69,99.88,3.83
PLA,0,59.4,3.54,103.76,4.11
PLA,0,59.3,3.80,104.76,4.86
PLA,0,58.8,3.95,100.34,3.86
PLA,0,59.7,3.75,102.76,4.09
PLA,0,59.4,3.82,104.67,4.63
PLA,0,58.7,3.45,103.81,3.91
PLA,0,60.2,3.78,104.96,4.78
PLA,0,58.7,3.91,103.46,3.57
MW,10,59.6,3.02,70.81,2.97
MW,10,60.3,3.30,72.73,3.54
MW,10,59.8,3.20,74.01,3.57
MW,10,59.7,3.20,71.53,2.74
MW,10,60.2,3.01,70.50,3.17
MW,10,59.7,3.21,71.52,3.06
MW,10,60.3,3.13,70.74,3.16
MW,10,60.0,3.31,73.61,2.96
MW,10,59.4,3.10,72.95,3.34
MW,10,60.4,3.09,72.32,3.21
MW,20,60.8,4.03,66.36,2.59
MW,20,61.5,4.43,66.28,2.28
MW,20,61.9,3.99,70.29,2.29
MW,20,61.2,4.02,69.47,2.69
MW,20,60.9,3.87,65.89,2.59
MW,20,61.7,3.98,67.78,2.53
MW,20,61.3,4.34,66.91,2.44
MW,20,60.9,4.45,67.32,2.51
MW,20,61.7,4.13,67.89,2.62
MW,20,61.0,3.84,70.09,2.41
MW,30,59.3,3.39,47.15,1.45
MW,30,60.1,3.88,49.12,1.98
MW,30,60.3,3.73,51.01,1.54
MW,30,59.5,3.60,48.04,1.86
MW,30,59.6,3.58,46.11,1.46
MW,30,59.4,3.65,48.12,1.72
MW,30,60.4,3.57,50.31,1.41
MW,30,59.7,3.76,48.61,1.54
MW,30,60.6,3.36,50.01,1.77
MW,30,59.5,3.89,47.46,1.80
LSW,10,61.2,2.99,67.01,4.01
LSW,10,61.0,3.23,72.11,3.56
LSW,10,61.8,3.26,68.94,4.10
LSW,10,61.3,2.95,71.41,3.93
LSW,10,61.4,3.02,70.61,3.87
LSW,10,60.97,3.43,71.34,4.22
LSW,10,61.76,3.22,70.78,3.05
LSW,10,59.95,2.67,69.02,3.76
LSW,10,60.60,3.45,68.41,3.98
LSW,10,61.32,3.12,71.56,4.57
CW,10,59.51,3.12,75.87,3.45
CW,10,60.01,3.11,76.12,3.86
CW,10,59.21,3.35,75.77,3.63
CW,10,58.82,3.15,76.49,3.98
CW,10,59.41,3.10,76.09,3.47
CW,10,60.12,3.45,76.06,3.63
CW,10,60.34,3.16,76.55,3.94
CW,10,59.94,3.5,75.81,3.42
CW,10,59.23,3.01,76.05,3.59
CW,10,60.03,3.11,75.91,3.69
OW,10,53.19,2.15,40.76,3.45
OW,10,53.49,2.24,40.98,3.23
OW,10,53.38,1.98,41.09,3.12
OW,10,53.59,2.12,40.79,3.06
OW,10,53.49,2.23,40.99,3.41
OW,10,53.91,2.36,40.71,3.09
OW,10,52.49,2.61,41.28,3.31
OW,10,53.65,3.12,40.76,3.27
OW,10,53.37,2.57,41.78,3.25
OW,10,53.97,2.13,40.87,3.11
CBWS,10,57.6,2.92,55.87,3.45
CBWS,10,56.41,2.85,56.45,3.76
CBWS,10,57.01,3.22,55.99,4.11
CBWS,10,56.33,3.2,56.78,3.25
CBWS,10,56.01,3.53,56.84,4.08
CBWS,10,57.81,3.21,56.84,3.85
CBWS,10,56.73,3.37,56.35,4.08
CBWS,10,57.1,3.64,55.79,4.16
CBWS,10,56.94,2.47,56.23,4.01
CBWS,10,56.83,3.12,56.88,3.81
